Date,yhat,yhat_lower,yhat_upper
2023-07-10,6422.284567507551,6115.867171635085,6725.062985938964
2023-07-11,6557.397994316393,6269.660545216421,6882.311226361633
2023-07-12,6657.64065949829,6355.505353941817,6947.4940149090135
2023-07-13,6711.881161301737,6418.07749747656,7030.456177606595
2023-07-16,6761.807612646185,6482.374664506286,7046.8118195686375
2023-07-17,6873.617418492145,6584.488680181531,7147.440784256884
2023-07-18,7015.847292179501,6727.534569653246,7319.992034810075
2023-07-19,7124.0537506334385,6843.051374891863,7433.870763048101
2023-07-20,7186.940979019128,6911.6204831387395,7461.319330137136
2023-07-23,7265.1639858236485,6986.965020197614,7560.7846922411945
2023-07-24,7386.610427100014,7077.241374843767,7670.521836891386
2023-07-25,7538.303384283582,7261.044206381493,7835.038592447384
2023-07-26,7655.6508652219,7345.903685156568,7955.694291484651
2023-07-27,7727.224447773778,7435.3714997486195,8021.377318068151
2023-07-30,7827.740780254247,7527.298763679795,8117.70360447588
2023-07-31,7955.124152209336,7669.678186839689,8247.659587360298
2023-08-01,8111.943432870593,7808.332587818906,8384.962228059912
2023-08-02,8233.601804407626,7922.379137601682,8515.109778940523
2023-08-03,8308.68691570451,8011.1194433934525,8602.36035059041
2023-08-06,8415.378559811974,8113.20739153972,8675.774124425201
2023-08-07,8543.588826312121,8253.520688691362,8854.014062339984
2023-08-08,8700.75853658329,8409.660653668216,8995.394201331193
2023-08-09,8822.385436311795,8538.95207938619,9125.888077248605
2023-08-10,8897.154866467992,8611.428586774604,9201.632329968123
2023-08-16,9408.167958020651,9124.609470785414,9709.131529205772
2023-08-17,9483.077745085355,9196.321253895336,9770.040832072295
2023-08-20,9590.486307819907,9298.295492155174,9894.141658468894
2023-08-21,9719.704821715817,9431.359747415045,10012.265145413934
2023-08-22,9878.39887161013,9595.218563403,10174.763923030292
2023-08-23,10002.116109164846,9717.186502183209,10285.670245122841
2023-08-24,10079.572780303275,9774.347558161948,10369.109928488802
2023-08-27,10196.267711055329,9893.72999938465,10498.06509352945
2023-08-28,10329.015852249919,10035.120013649397,10610.432301505389
2023-08-29,10491.396980475001,10203.963262404768,10793.015993951634
2023-08-30,10618.92435077568,10286.96049198287,10919.903801891043
2023-08-31,10700.282246645753,10425.582695055202,10995.598325382804
2023-09-04,10965.719952696016,10659.813151844028,11240.610637684726
2023-09-05,11027.83671479803,10742.551329958227,11350.131642104763
2023-09-06,11055.070546469013,10758.015678554852,11340.295485638668
2023-09-07,11036.094934703613,10745.943271229211,11315.809478949432
2023-09-10,10863.420526415195,10535.139781162325,11179.521390839664
2023-09-11,10899.570724868336,10605.43501531515,11211.422788127114
2023-09-12,10965.224130627448,10676.82205667565,11257.517566645145
2023-09-13,10995.85488284833,10703.002716565692,11264.7633126498
2023-09-14,10980.103235124725,10689.53480448633,11264.917126267801
2023-09-17,10815.624881982189,10520.750539495815,11112.851592835594
2023-09-18,10853.833727314954,10535.179156235648,11128.34495677007
2023-09-19,10921.102317077119,10611.092523670397,11243.669199617349
2023-09-20,10952.83312419009,10652.216301859195,11246.061368925708
2023-09-21,10937.591717214525,10635.714869050831,11255.32456159354
2023-09-24,10770.355119709715,10491.161523200088,11059.51811428585
